Maison,Coeur,Disponibilité,Famille Olfactive,Fond,Prix,Reference,Saison,Taille,Tête
"Ex-Nihilo ",Fleur d'oranger,Boutique,"Floral, Fruité",Ambre,0,Scarlet Sands,,0,framboise
Fabrica della musa,Violette,Jovoy,Floral,Vétiver,220,Tribeca vibes,,100,Pamplemousse
Fabrica della musa,Rose,Jovoy,"Boisé, Floral, Oriental",Oud,250,Oud Touareg,,100,Mandarine
Floraiku,,Nose,,,0,Gong,,0,
Floraiku,Lavande,Nose,"Floral, Fruité",Vanille,175,And your lips,,30,Mandarine
Floraiku,Thé noir,Nose,"Aromatique, Fruité",Vanille,295,Levitating,,60,Bergamotte
Floraiku,Poivre Noir,Nose,"Ambré, Epicé",Santal,295,I am coming home,,60,Yuzu
Fragrance du bois,Caramel,Jovoy,Gourmand,Vanille,285,NY 5th avenue,,100,Rose
Fragrance du bois,Ylang Ylang,Jovoy,Floral,Ambre,285,Siberian Rose,,100,Poire
Fragrance du bois,Rose,Jovoy,Boisé,Vétiver,335,Lovers,,100,Fruit de la passion
Fragrance du bois,Rose,Jovoy,"Cuiré, Epicé",Oud,695,Parisian,,100,Poivre rose
Francis Kurkdjian,Oud,"Galerie Lafayette, Printemps, Samaritaine","Floral, Oriental",Rose,155,Oud Satin Mood,Hiver,35,Feuille de violette
"Francis Kurkdjian ",Coriandre,"Galerie Lafayette, Printemps, Samaritaine","Ambré, Boisé",Vanille,125,Gentle Fluidity,Toutes,35,"Baies de genièvre, Noix de muscade"
Frapin,Rose,"Jovoy, Nose","Ambré, Boisé",Santal,170,6 hours to rio,,100,Mandarine
Fomowa,,Odorare,,,180,Pannaco Tahaa,,100,
Fomowa,,Odorare,,,180,Akatsuki Melba,,100,
Fugazzi,,,,,0,,,0,
Granado Rio,,Samaritaine,,,0,Tuberosa,,0,
Goldfield an Banks,Magnolia,"Jovoy, Printemps","Ambré, Fruité",Santal,167,Ingenious Ginger,,100,"Gingembre, Mandarine"
Granado Rio,,Samaritaine,,,105,Oasis,,75,
Granado Rio,,Samaritaine,,,150,Folia,,75,
Granado Rio,,Samaritaine,,,150,Epoque Tropical,,75,
Heeley,Noix de coco,"Jovoy, Nose","Boisé, Floral, Fruité",Cèdre,145,Palm,,100,Feuille de palmier
Histoire de parfum,Miel,Jovoy,Oriental,Musc,205,"
Ceci n'est pas un Flacon Bleu 1.1",,115,Orange
Histoire de parfum (1),Muguet,Jovoy,Floral,Musc,205,"
Ceci n'est pas un Flacon Bleu 1.2",,115,Lierre
Houbigant Paris,Rose,Jovoy,"Ambré, Hespéridé",Ambre,200,Rose du désert,Toutes,100,Yuzu
Houbigant Paris,Vanille,Jovoy,"Ambré, Floral",Ambre,200,Vanille Impériale,,100,Bergamotte
Initio,,Samaritaine,,,280,Paragon,,90,
Initio,,Samaritaine,,,220,Musk Therapy,,90,
Initio,,Samaritaine,,,210,Side Effect,,90,
iPiccirilli,,Odorare,,,90,Marechiaro,,30,
iPiccirilli,,Odorare,,,90,Jasmilk,,30,
Jovoy,Frangipanier,Jovoy,"Gourmand, Oriental",Vanille,160,Remember Me,"Automne, Hiver",75,Cardamome
Jousset,,,,,160,African Queen,,50,
Jo Mallone,,"Galerie Lafayette, Printemps",,,75,English Pear & Sweet Pea Cologne,,30,
Jo Mallone (1),,"Galerie Lafayette, Printemps",,,75,Nectarine Blossom & Honey Cologne,,30,
Killian,,"Galerie Lafayette, Nose, Printemps, Samaritaine",,,0,forbidden games,,0,
Kilian,,"Galerie Lafayette, Nose, Printemps, Samaritaine",,,260,Good Girl Gone Bad,,50,
Kajal,Cèdre,Jovoy,"Boisé, Fruité",Ambre,210,Dahab,,100,Pomme
Liquide Imaginaire,,"Jovoy, Printemps","Floral, Musqué",,170,Blanche Bête,Toutes,50,"Lait, Musc, Tubéreuse"
Kajal,Muguet,Jovoy,"Ambré, Fruité, Gourmand",Noix de coco,240,Kolada,,100,Ananas
L’artisan parfumeur,,"Galerie Lafayette, Printemps",,,170,Premier figuier,,100,
Lorenzo Pazzaglia,,Odorare,,,145,Extreme Passion,,50,
Le labo,,"Galerie Lafayette, Printemps",Boisé,,209,Santal 33,Toutes,50,"Cuir, Papyrus, Santal"
Lorenzo Pazzaglia,,Odorare,,,145,Summer Hammer,,50,
Maison Crivelli,,"Galerie Lafayette, Samaritaine",,,200,Tubereuse Astrale,,50,
Maison Crivelli,,"Galerie Lafayette, Samaritaine",,,215,Safran Secret,,50,
Maison Margiela,,"Galerie Lafayette, Printemps","Floral, Musqué",,145,Lazy Sunday Morning,Printemps,100,"Aldéhydes, Muguet, Musc blanc"
Maison Margiela,,"Galerie Lafayette, Printemps","Floral, Fruité",,145,Beach Walk,Eté,100,"Musc, Noix de coco, Ylang-ylang"
Maison Matine,Jasmin,Jovoy,"Epicé, Fruité",Cèdre,60,Anashi no umi,,50,Freesia
Maison Matine,Orchide,Jovoy,"Floral, Musqué",Musc,60,Poom Poom,,50,Rose
Maison Santal,,,,,180,Enigma,,100,
Maison Mataha,,Odorare,,,190,Peche velours,,100,
Marc Antoine Barrois,,Printemps,Floral,,120,Tilia,"Eté, Printemps",30,"Genêt, Héliotrope, Tilleul"
Marc Antoine Barrois,Paprika,Printemps,"Epicé, Floral",Tonka,120,Aldebarran,,30,Tubéreuse
Marc Antoine Barrois,Cuir,Printemps,"Cuiré, Epicé",Akigalawood,120,"Ganymède ",Toutes,30,Mandarine
Matières Premières,Safran,"Printemps, Samaritaine","Epicé, Oriental",Ambroxan,165,Santal Austral,"Automne, Hiver",50,Musc
Matière Première,Patchouli,"Printemps, Samaritaine","Floral, Oriental",Safran,165,"Radical Rose ","Automne, Hiver",50,Rose
Matière Première,Tubéreuse,"Printemps, Samaritaine",Floral,Ambroxan,165,"French Flower ",,50,Poire
Memo Paris,,"Galerie Lafayette, Samaritaine",,,255,Tamarindo,,75,
Memo Paris,,"Galerie Lafayette, Samaritaine",,,255,Cappadocia,,75,
Memo Paris,,"Galerie Lafayette, Samaritaine",,,130,Madurai,,30,
Memo Paris,,"Galerie Lafayette, Samaritaine",,,130,Odeon,,30,
Nasomatto,,"Jovoy, Nose","Boisé, Oriental",,130,Baraonda,Hiver,30,"Ambre, Notes boisées, Whisky"
Nasomatto,Musc,"Jovoy, Nose",Boisé,Cuir,130,Blamage,,30,Bouleau
Nasomatto,Jasmin,"Jovoy, Nose","Epicé, Floral",Epices,130,Narcotic V,,30,Tubéreuse
Nishane,Néroli,Boutique,"Boisé, Fruité",Oud,245,Karagoz,,50,Ananas
Nishane,Ylang Ylang,Boutique,"Boisé, Floral","Iris, Santal",225,Nanshe,,50,Bergamotte
Nishane,Jasmin,Boutique,"Floral, Fruité",Vanille,235,Hundred Silent Ways X,,50,"Pêche, Tubéreuse"
Nissaba,Tubéreuse,Jovoy,"Boisé, Floral, Fruité",Vétiver,160,Malli Nadu,,100,Davana
Neandertal,,Nose,,,135,Them,,30,
New Notes,Gingembre,"Jovoy, Odorare","Epicé, Fruité",Vanille,160,Cocktail Maracuja,,50,Fruit de la passion
New Notes,Mousse,"Jovoy, Odorare","Ambré, Fruité",Ambre,160,Mangomina D,,50,Mangue
New Notes,Rose,"Jovoy, Odorare","Floral, Hespéridé",Santal,160,Rosa Limone,,50,Citron
Nobile 1942,Iris,Jovoy,"Boisé, Oriental",Santal,130,Sandalo Nobile,,75,Cumin
Nobile 1942,Jasmin,Jovoy,Gourmand,Styrax,130,Il giardino delle delizie,,75,Prune
Nobile 1942,Ylang Ylang,Jovoy,Floral,Tonka,130,La stanza delle bambole,,75,Chantilly
Nobile 1942,Cannelle,Jovoy,"Fruité, Gourmand",Vanille,130,La danza delle libellule,,75,Pomme
Nobile 1942,Café,Jovoy,"Boisé, Oriental",Bois,130,Nobile 26,,75,Mandarine
Paradis des sens,,Odorare,,,190,Divina,,100,
Paradis des sens,,Odorare,,,190,Vallhalla,,100,
Parfum de Marly,,"Galerie Lafayette, Printemps, Samaritaine",,,225,Althaïr,,75,
"Parfum de Marly ",,"Galerie Lafayette, Printemps, Samaritaine",,,225,Layton,,75,
Penhaligon’s,,"Printemps, Samaritaine",,,275,Constance,,75,
Perris Monte Carlo,Ylang Ylang,Jovoy,Oriental,Vanille,180,YlangYlang,,100,Pamplemousse
Perris Monte Carlo,Magnolia,Jovoy,Poudré,Iso E Super,180,Shinning Moon,,100,Poivre rose
Perris Monte Carlo,Santal,Jovoy,"Floral, Fruité",Labdanum,180,Absolu d’osmanthe,,100,Osmanthus
"Place de la reverie ",,Odorare,,,220,Santal de Paris,,50,
Reinvented,,Odorare,,,180,Sacred Bond,,75,
